Code insee;Bénéficiaires;Communes;Projets;Détails;Coût ;"Subvention DSIL ""classique""";Subvention DSIL exceptionnelle;latitude;longitude
39297;Communes;Longchaumois;Transition écologique;Remplacement des anciens luminaires par un éclairage LED à l'intérieur de l'église;8 974,23 €;2 692,27 €;30,00%;46.483808;5.948607
1115;Communes;Cofrancon;Préservation du patrimoine;Rénovation de l’église;9 024,00 €;2 707,00 €;30,00%;46.268056;5.062502
80151;Communes;Buire sur Ancre;Transition écologique;rénovation thermique de la salle des fêtes;9 058,00 €;4 529,00 €;50,00%;49.964131;2.591784
12620;Communes;Castelnau-Pégayrols;Préservation du patrimoine;plan de signalisation et d’adressage de la commune;9 100,00 €;4 550,00 €;50,00%;44.140262;2.942139
8271;Communes;MANRE;Préservation du patrimoine;Travaux église;9 135,00 €;4 568,00 €;50,01%;49.262124;4.665687
67063;Communes;BREITENBACH;Préservation du patrimoine;rénovation des vitraux du choeur de l’église Saint-Gall;9 200,00 €;3 680,00 €;40,00%;48.3648188;7.286834
80234;Communes;Daours;Transition écologique;rénovation énergétique du logement communal;9 210,72 €;7 368,58 €;80,00%;49.901481;2.448458
80737;Communes;Sorel le Grand;Transition écologique;rénovation thermique salle de réunion mairie;9 229,30 €;7 383,44 €;80,00%;50.022909;3.050601
70550;Communes;Vesoul;Transition écologique;Mise en lumière de l’église Saint Georges;9 270,10 €;6 025,57 €;65,00%;47.628692;6.157979
10231;Communes;Le Mériot;Transition écologique;Rénovation énergétique des bâtiments publics;9 383,00 €;2 346,00 €;25,00%;48.505646;3.442452
28392;Communes;Trancrainville;Transition écologique;Changement des huisseries des logements du presbytère;9 400,00 €;4 700,00 €;50,00%;48.2384982;1.8589852
1392;Communes;Samognat;Préservation du patrimoine;a rénovation du four et du lavoir communal au hameau de Condamine;9 499,00 €;2 850,00 €;30,00%;46.258375;5.579354
87006;Communes;Azat le Ris;Transition écologique;Rénovation du système de chauffage;9 547,54 €;2 864,26 €;30,00%;46.284568;1.050519
15079;Communes;JALEYRAC;Transition écologique;Changement de deux chaudières gaz aux gîtes d'embrassac;9 559,00 €;5 735,00 €;60,00%;45.270413;2.362376
21632;Communes;Thorey-en-Plaine;Hors thématiques DSIL relance;Réhabilitation de bâtiments communaux;9 595,00 €;2 670,00 €;27,83%;47.2172821;5.1342862
35215;Communes;PARIGNE;Résilience Sanitaire;Travaux d’amélioration et de rénovation du réseau d’assainissement;9 665,00 €;3 866,00 €;40,00%;48.424637737857;-1.193204
1128;Communes;Courtes;Transition écologique;Remplacement des fenêtres de la mairie et isolation thermique et acoustique du plafond de la salle polyvalente;9 677,00 €;2 903,00 €;30,00%;46.459549;5.089453
1232;Communes;Marboz;Transition écologique;Lutte contre les îlots de chaleur;10 011,00 €;3 003,00 €;30,00%;46.342112;5.249878
86268;Communes;Tercé;Transition écologique;Liaison douce entre le centre-bourg et les villages voisins - chemin de Champ Massé;10 036,00 €;3 513,00 €;35,00%;46.51761;0.557641
28398;Communes;Unverre;Préservation du patrimoine;Réfection d’une seconde partie des murs intérieurs de l’église et des menuiseries de la sacristie;10 073,00 €;4 000,00 €;39,71%;48.197378;1.056403
18070;Communes;Concressault;Préservation du patrimoine;Travaux de restauration des bons de l’église Saint Pierre;10 130,00 €;3 039,00 €;30,00%;47.491703;2.577767
19010;Communes;Argentat-sur-Dordogne;Transition écologique;Dossier 2020 – Acquisition d’une flottte de 4 Vélos à Assistance Electrique (VAE);10 156,00 €;2 539,00 €;25,00%;45.1218874;1.93284
80116;Communes;Bouchoir;Préservation du patrimoine;rénovation de l’église;10 201,00 €;5 100,00 €;50,00%;49.748549;2.672691
15213;Communes;SAINT SATURNIN;Résilience Sanitaire;Mise aux normes de l'assainissement du bar du moulin;10 220,00 €;4 088,00 €;40,00%;45.227;2.798
28392;Communes;Trancrainville;Transition écologique;Changement des huisseries de la mairie;10 289,00 €;5 100,00 €;49,57%;48.238498;1.858985
82094;Communes;Lauzerte;Préservation du patrimoine;Acquisition de mobilier et de matériel informatique pour la MSAP de Lauzerte;10 338,00 €;5 169,00 €;50,00%;44.255244;1.138079
18229;Communes;Saint Palais;Préservation du patrimoine;Restauration de l’église suite à l’effondrement de la paroi de la chapelle;10 344,95 €;8 275,00 €;79,99%;47.238142;2.405797
42081;Communes;Cuzieu;Transition écologique;Rénovation énergétique des bâtiments micro crèche et école;10 432,00 €;8 345,00 €;79,99%;45.603766;4.257175
35279;Communes;SAINT GUINOUX;Transition écologique;Travaux d’isolation du grenier de la mairie ;10 460,00 €;5 230,00 €;50,00%;48.57624;-1.881378
57656;Communes;Sorbey;Transition écologique;Remplacement chaudière mairie école;10 496,00 €;4 198,00 €;40,00%;49.040378;6.31642
87187;Communes;Saint Yrieix la Perche;Résilience sanitaire;Remise en conformité des raccordements eaux usées et eaux pluviales;10 500,00 €;3 150,00 €;30,00%;45.524546;1.207254
8113;Communes;CHAUMONT-PORCIEN;Préservation du patrimoine;Rénovation du lavoir de Wadimont et du lavoir et cabane à pompe de Logny-les-Chaumont;10 518,00 €;5 259,00 €;50,00%;49.65021;4.245032
21259;Communes;Fain-lès-Montbard;Hors thématiques DSIL relance;Réhabilitation de la toiture charpente d’un atelier communal;10 548,00 €;3 165,00 €;30,01%;47.608376;4.399792
59042;Communes;BACHY;Transition écologique;Remplacement de menuiseries à la mairie;10 560,00 €;4 224,00 €;40,00%;50.545032;3.264979
29098;Communes;LAMPAUL-PLOUARZEL;Transition écologique;Rénovation du chauffage de l’école maternelle de Kerargroas;10 662,00 €;5 000,00 €;46,90%;48.453986;-4.762901
1188;Communes;Illiat;Transition écologique;Réfection de trois portes d’entrée du bâtiment de l’école et de trois fenêtres de la salle de classe de maternelle;10 703,00 €;3 746,00 €;35,00%;46.18998637394478;4.888197379233034
39434;Communes;Poligny;Transition écologique;Remplacement de l'éclairage public en LED rue du théâtre;10 801,00 €;3 240,30 €;30,00%;46.840361;5.702182
57656;Communes;Sorbey;Transition écologique;Remplacement des fenêtres et des portes de l'école;10 830,75 €;4 332,00 €;40,00%;49.04037543;6.31642
67063;Communes;BREITENBACH;Transition écologique;Changement des luminaires de la rue du Mont Sainte-Odile par des leds;10 833,00 €;4 333,00 €;40,00%;48.364819;7.286834
63121;Communes;Coudes;Transition écologique;rénovation énergétique de l’école et de logements communaux;10 882,00 €;3 264,60 €;30,00%;45.612203;3.205162
1068;Communes;Cerdon;Préservation du patrimoine;a réfection des toitures de trois petits bâtiments : four et lavoir de Préau et Château d’eau de la Suisse;10 890,00 €;2 722,00 €;25,00%;46.078035;5.459326
57482;Communes;OGY MONTOY-FLANVILLE;Transition écologique;"rénovation basse consommation éclairage de la commune ; fin 2020";10 891,75 €;4 357,00 €;40,00%;49.117833;6.285551
